Freq [GHz],"im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
89.800003051758, -0.06760405004024,0.22484846413136,-0.01734662614762, 0.97204643487930 
89.860000610352, -0.06882604211568,0.22462262213230,-0.02237679064273, 0.97190582752228 
89.919998168945, -0.07004597038030,0.22439076006413,-0.02740682475268, 0.97173893451691 
89.980003356934, -0.07126379013061,0.22415293753147,-0.03243660554289, 0.97154605388641 
90.040000915527, -0.07247949391603,0.22390913963318,-0.03746600076556, 0.97132670879364 
90.099998474121, -0.07369306683540,0.22365944087505,-0.04249487072229, 0.97108125686646 
90.160003662109, -0.07490446418523,0.22340381145477,-0.04752310737967, 0.97080963850021 
90.220001220703, -0.07611368596553,0.22314231097698,-0.05255057290196, 0.97051173448563 
90.279998779297, -0.07732071727514,0.22287496924400,-0.05757713690400, 0.97018754482269 
90.339996337891, -0.07852550595998,0.22260177135468,-0.06260267645120, 0.96983718872070 
90.400001525879, -0.07972806692123,0.22232280671597,-0.06762704998254, 0.96946042776108 
90.459999084473, -0.08092836290597,0.22203806042671,-0.07265014946460, 0.96905750036240 
90.519996643066, -0.08212638646364,0.22174754738808,-0.07767183333635, 0.96862840652466 
90.580001831055, -0.08332210779190,0.22145134210587,-0.08269195258617, 0.96817290782928 
90.639999389648, -0.08451551198959,0.22114942967892,-0.08771041780710, 0.96769112348557 
90.699996948242, -0.08570657670497,0.22084186971188,-0.09272709488868, 0.96718323230743 
90.760002136230, -0.08689529448747,0.22052864730358,-0.09774181246757, 0.96664893627167 
90.819999694824, -0.08808163553476,0.22020982205868,-0.10275447368622, 0.96608847379684 
90.879997253418, -0.08926559239625,0.21988540887833,-0.10776496678591, 0.96550172567368 
90.940002441406, -0.09044715017080,0.21955540776253,-0.11277310550213, 0.96488863229752 
91.000000000000, -0.09162627905607,0.21921992301941,-0.11777882277966, 0.96424925327301 
91.059997558594, -0.09280297160148,0.21887889504433,-0.12278193980455, 0.96358364820480 
91.120002746582, -0.09397721290588,0.21853238344193,-0.12778235971928, 0.96289169788361 
