Freq [GHz],"im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
83.199996948242,0.13445191085339,	-0.13995975255966,0.51571273803711    ,-0.8345301747322	
83.260002136230,0.13588173687458,	-0.13877518475056,0.52247881889343    ,-0.8302782773971	
83.319999694824,0.13730001449585,	-0.13757790625095,0.52920997142792    ,-0.8259712457656	
83.379997253418,0.13870657980442,	-0.13636812567711,0.53590571880341    ,-0.8216094970703	
83.440002441406,0.14010143280029,	-0.13514582812786,0.54256570339203    ,-0.8171934485435	
83.500000000000,0.14148442447186,	-0.13391125202179,0.54918926954269    ,-0.8127230405807	
83.559997558594,0.14285543560982,	-0.13266454637051,0.55577629804611    ,-0.8081988096237	
83.620002746582,0.14421443641186,	-0.13140568137169,0.56232601404190    ,-0.8036208152771	
83.680000305176,0.14556129276752,	-0.13013488054276,0.56883823871613    ,-0.7989897131919	
83.739997863770,0.14689591526985,	-0.12885223329067,0.57531279325485    ,-0.7943052053451	
83.800003051758,0.14821828901768,	-0.12755781412125,0.58174854516983    ,-0.7895683646202	
83.860000610352,0.14952820539474,	-0.12625190615654,0.58814555406570    ,-0.7847790718078	
83.919998168945,0.15082567930222,	-0.12493449449539,0.59450316429138    ,-0.7799375057220	
83.980003356934,0.15211062133312,	-0.12360569089651,0.60082113742828    ,-0.7750443816185	
84.040000915527,0.15338282287121,	-0.12226576358080,0.60709929466248    ,-0.7700997591018	
84.099998474121,0.15464238822460,	-0.12091465294361,0.61333644390106    ,-0.7651041746139	
84.160003662109,0.15588915348053,	-0.11955254524946,0.61953306198120    ,-0.7600573301315	
84.220001220703,0.15712293982506,	-0.11817971616983,0.62568819522858    ,-0.7549602985382	
84.279998779297,0.15834386646748,	-0.11679600179195,0.63180154561996    ,-0.7498132586479	
84.339996337891,0.15955170989037,	-0.11540177464485,0.63787263631821    ,-0.7446164488792	
84.400001525879,0.16074645519257,	-0.11399706453085,0.64390146732330    ,-0.7393697500228	
84.459999084473,0.16192798316479,	-0.11258202046156,0.64988702535629    ,-0.7340744137764	
84.519996643066,0.16309626400471,	-0.11115669459105,0.65582937002182    ,-0.7287299633026	
84.580001831055,0.16425123810768,	-0.10972131043673,0.66172790527344    ,-0.7233373522758	
84.639999389648,0.16539275646210,	-0.10827598720789,0.66758233308792    ,-0.7178965806961	
84.699996948242,0.16652084887028,	-0.10682077705860,0.67339241504669    ,-0.7124080061912	
84.760002136230,0.16763536632061,	-0.10535582900047,0.67915725708008    ,-0.7068723440170	
84.819999694824,0.16873627901077,	-0.10388135164976,0.68487697839737    ,-0.7012893557548	
