"Freq [GHz]","ang_rad(S(a1,b1)) [rad]","ang_rad(S(a2,b1)) [rad]","ang_rad(S(a3,b1)) [rad]","ang_rad(S(a4,b1)) [rad]","ang_rad(S(a5,b1)) [rad]","ang_rad(S(a6,b1)) [rad]","ang_rad(S(a7,b1)) [rad]","ang_rad(S(a8,b1)) [rad]"
9,-0.917342820805812,0.163797173339979,1.80350329286242,-3.04737396195482,-1.60682339729049,0.432542901415466,1.90083033938071,-2.73714671688655
9.1,-1.18117970683129,-0.360651814436485,1.41216081558067,2.93926916050486,-2.22947571911935,0.838782517629558,1.84985300517062,3.08042751532284
9.2,-1.68959562237449,-0.754052188649907,1.51025514946108,3.11314095565117,-2.40866669024768,-0.0745992643904581,1.10515813938314,2.83756116347026
9.3,-1.93102827721453,-0.776639198883377,1.16404921329241,2.77996726375259,-2.58883535821407,-0.527011121916346,0.773677960414531,2.65003090263702
9.4,-2.13641766126088,-0.861894206491341,0.821895249577142,2.57644775564316,-2.80188220379804,-0.913597155415811,0.505229176814104,2.40979571503569
9.5,-2.32962921817044,-1.18604565021679,0.374123601182573,2.28353550452884,-2.79259565676429,-1.31817441430333,0.340432144135918,1.98189695526958
9.6,-2.56371490873786,-1.53990736398082,-0.0972116846632328,1.7681837208143,-3.07983319600686,-1.51246589299217,0.0351720562105328,1.58960586905499
9.7,2.79008303438339,-1.57973441584966,0.127038601315993,1.92473375513975,2.0375604144639,-1.85223239333087,0.473522564763642,0.648381255597461
9.8,-2.89654640799175,-1.83819366589756,-0.637555774353745,1.03107718259923,2.69479315985516,-2.37224157968631,-0.365793087677463,1.34069811026399
9.9,2.98174120411629,-2.10570803930012,-0.776776199062622,0.782908412306519,2.36093592359844,-2.50836271232047,-0.702283911468839,0.848967193480462
10,2.44829489822203,-2.59324532257313,-1.31385101974658,0.290268094571798,2.29393086496288,-2.7790293915079,-1.08620240978517,0.720353505689376
10.1,2.24350340412326,-2.62271206953859,-1.4508318477782,-0.0760849128072827,1.78671753054047,-2.88708640536269,-1.29438872858077,0.450348945705786
10.2,1.75576075962628,-3.09532680372665,-1.5895145721416,-0.400407105032882,1.34058689192033,-3.12688702377041,-1.63751757579525,0.00176811734106925
10.3,1.47710940438325,2.65462904625429,-2.03619756003947,-0.661664360800083,1.15933170330769,3.05921546018266,-1.8694866582001,-0.325858468297221
10.4,1.4549009740873,2.08025263563071,-2.48281425883616,-1.00007618428971,0.796572133385519,2.80722565157804,-1.99350174540079,-1.08680297720208
10.5,-3.06094379131924,1.34477014218275,-3.02467131111227,-1.57026053027996,0.0364395513169738,2.75373159123483,0.642066101347248,-2.81242668656604
10.6,1.43460570719445,-1.43844917755675,1.51787687420437,1.96330627114609,2.31328427002922,0.666567840406164,-0.0776531755667124,1.88850416581179
10.7,-0.586273802015516,1.91028552861358,-0.988693775481282,-1.21268798672359,0.23561267838166,-0.749498022548445,-2.66839183471912,-0.457408918931925
10.8,-0.854619495510147,1.38758661991723,-1.46162629511526,-1.70887449413743,0.0662506306471099,-0.905556265450256,-2.98492999802982,-0.801550850885394
10.9,-1.10017844120902,1.08393345295054,-1.76908885908881,-2.04568534395804,-0.0815739263652752,-1.1903368946517,-3.1339061511178,-1.10150806091821
11,-1.33669524002548,0.864296171585248,-1.98927814661234,-2.29390184651167,-0.207501558195274,-1.47854904507822,3.13721762622878,-1.38246986497757
