"Freq [GHz]","dB(S(a1,b3)) []","dB(S(a2,b3)) []","dB(S(a3,b3)) []","dB(S(a4,b3)) []","dB(S(a5,b3)) []","dB(S(a6,b3)) []","dB(S(a7,b3)) []","dB(S(a8,b3)) []"
9,-9.67075529527505,-16.7838424358433,-13.6129625644578,-9.08479682892526,-6.04062319238135,-6.6642617984322,-6.79563396238056,-17.9979270721405
9.1,-26.4781158518374,-5.57410859561536,-12.5117538782925,-22.4019214664334,-4.07091274668612,-14.7983714143454,-6.06498304972351,-8.34168430064029
9.2,-10.982034308322,-8.37148062373251,-11.1197560411283,-10.5786392248795,-12.5761943021347,-11.2808235215635,-16.2695949145696,-11.3430490892634
9.3,-10.3706843002977,-10.457317558339,-11.7426191706204,-9.95087827676405,-13.3854928685511,-9.83145284942506,-14.0891794311944,-12.9976061859285
9.4,-10.6029654325328,-10.9100194117748,-12.1814644479234,-9.67434361627318,-12.8775079274035,-9.58704064473969,-13.2665228275514,-12.5560125847034
9.5,-11.0710285564102,-10.2370825580376,-12.6886042934851,-9.72351528861192,-12.6022596807889,-9.24885245557132,-13.812568991161,-11.135786200321
9.6,-11.9259282415441,-9.39150364836762,-13.0720261535709,-10.1438274673381,-12.6649536582463,-9.03007048774777,-14.3926650994648,-9.9702926353623
9.7,-15.9214861193255,-9.63595986509536,-9.69717548802437,-12.4539872895862,-11.7478434251248,-10.4269488392263,-13.7100279499897,-8.95435135369403
9.8,-11.9423646045142,-11.3825039995815,-11.4672728760285,-10.4758915850144,-11.1714634054671,-10.9361326104687,-11.209013107686,-11.2945519208841
9.9,-12.6345155630228,-11.3109851978884,-9.76748080410486,-13.271936522535,-10.1485961188107,-11.4956003659704,-10.3403535821122,-14.8702617193152
10,-12.3355643444828,-9.65749921410603,-12.1906384242496,-10.1225088181867,-11.3070933737351,-10.3571722008457,-12.389443763722,-10.7313977337103
10.1,-11.1253820346165,-11.2026154143873,-10.9761499742478,-11.2583980598923,-10.7475219331476,-11.1690456196198,-10.0387625294074,-12.4155260316094
10.2,-11.3556944889921,-10.8942373278404,-11.3638772155011,-10.4219798916156,-11.4250035122036,-10.6223239258329,-10.4381770736043,-11.4390249538224
10.3,-11.1518787663311,-11.006134528663,-10.1991273979063,-11.3059570865935,-11.6383626211606,-10.4129722474103,-10.5967842904816,-12.1741577913722
10.4,-8.2838956232903,-13.9015666707101,-9.31661726728647,-11.2037485522897,-11.9298838582843,-12.6328786969203,-8.38489999166958,-12.5752387910069
10.5,-1.46581071103788,-21.5426662359011,-6.83282441580141,-9.45255000432687,-11.3052513578431,-16.3286051656984,-4.53602490327329,-6.6760664212299
10.6,5.88816762081132,0.972696196706782,6.26681665091782,-10.0798090325648,-7.83392499652236,-1.94940561471297,-0.786500776703038,4.35252058527983
10.7,-13.1631695726501,-9.08927231272164,-7.01867984764556,-14.8981238322018,-8.07763222189361,-7.201275872037,-11.169480875659,-8.28588665667476
10.8,-17.6737178960471,-10.9921655952432,-8.08488538617511,-15.7476702624106,-8.17261413130914,-8.73199430937779,-10.3549877190858,-10.1328025463453
10.9,-17.5569299387013,-11.687798975785,-8.46790176189593,-16.4203359331604,-8.11590769285899,-9.42060125879174,-10.1628117805361,-10.2533644262775
11,-16.1771955383882,-11.6035649648785,-8.76777978598031,-16.7032653117713,-8.08067896686883,-9.79183979274567,-10.0597497434032,-9.96025101925805
