"Freq [GHz]","ang_rad(S(a1,b4)) [rad]","ang_rad(S(a2,b4)) [rad]","ang_rad(S(a3,b4)) [rad]","ang_rad(S(a4,b4)) [rad]","ang_rad(S(a5,b4)) [rad]","ang_rad(S(a6,b4)) [rad]","ang_rad(S(a7,b4)) [rad]","ang_rad(S(a8,b4)) [rad]"
9,-2.912486863147,2.48809938745289,2.42217980719062,2.1062676247503,2.00395622812268,2.38510581183299,2.49226707912329,-2.87112940035631
9.1,2.96594324397212,2.14234814523829,2.10950754932063,1.86079893368499,1.77282148089135,2.15623824856722,2.46169020772259,3.05510185636666
9.2,2.57817155784494,1.96772055813953,1.8053318851226,1.56239655948409,1.58151816470785,1.81276068230278,2.16044186295726,2.60746002254398
9.3,2.16052421091349,1.78371456330111,1.4648998365574,1.31841234644257,1.32884332196069,1.44646304354537,1.89493951597336,2.1726670546438
9.4,1.77895664414389,1.46694284518072,1.12192575623714,1.14839731132036,1.16190862806008,1.08490789244136,1.54051755093371,1.77616127215727
9.5,1.25805198870022,1.2325361670662,0.797026083896189,0.90084827807162,0.925574753115623,0.781115025914324,1.24401077209618,1.2597150666539
9.6,0.72112037568204,1.05189346833269,0.418479660776035,0.49622971338414,0.509437354018406,0.41276647385251,1.05830162815151,0.722530451096382
9.7,0.182980429558555,0.648504492614588,0.208414300417095,0.0707361450842526,0.0926913006537585,0.191100011839012,0.657660984638409,0.17583271017738
9.8,0.141621459816589,0.112799545279507,-0.0510454880167942,-0.265701195945804,-0.265661945737477,-0.046378054971504,0.110069797269576,0.156898089888027
9.9,-0.0610595806224153,-0.251109620670836,-0.33323662892186,-0.608352806861914,-0.611651862160035,-0.327623921725367,-0.251948827016072,-0.0500306177208319
10,-0.559357890639924,-0.368589310382084,-0.78857061299336,-0.930782854644056,-0.926729270140655,-0.787255304392391,-0.377554646540551,-0.551728287454909
10.1,-0.723842651590562,-0.88235658503185,-1.0472727190089,-1.23080135386114,-1.22463194951742,-1.0492377271695,-0.882950561366771,-0.714947167999127
10.2,-1.12824931523022,-1.19444101224102,-1.40826208069074,-1.56975598317656,-1.55523428003983,-1.41506243753194,-1.20053325921165,-1.11937369205316
10.3,-1.60904157019217,-1.40110602017175,-1.79218571111031,-1.85239757400331,-1.86176513755612,-1.78305030291772,-1.40233949327575,-1.59143181111323
10.4,-2.10825617944269,-1.68095294300084,-2.21533077036336,-2.2091582785601,-2.21772100405664,-2.21342302877399,-1.67508377656363,-2.08565709204262
10.5,3.13578978179715,-1.61343462189047,-3.06317147605479,-2.64361487309188,-2.73786679689963,3.10097508387048,-1.58486624466236,3.02497300249173
10.6,0.698842450924326,-2.24947907911015,0.816483167202016,1.64326059900921,2.0484470063652,-0.783146042288304,-1.09410343438242,1.26065877389546
10.7,-1.64299849053609,3.0421109280102,-2.05512111409432,-2.61429671956467,-2.60159067920425,-2.38705276660969,-3.01975792171542,-1.6007588698431
10.8,-1.9592693597654,2.87288445800627,-2.51472958163559,-2.93808995387282,-3.0831867487049,-2.69248838088794,2.95147377682773,-1.94014031713692
10.9,-2.19105938172033,2.63465274728598,-2.83704648142127,3.10103791148524,2.86264320343449,-2.9502613184741,2.65429767207507,-2.20079421146403
11,-2.38681094461226,2.38943764071626,-3.10326656479557,2.87980983832503,2.57058903471805,3.10515815714243,2.36831922097532,-2.43640763173824
