"Freq [GHz]","dB(S(a1,b6)) []","dB(S(a2,b6)) []","dB(S(a3,b6)) []","dB(S(a4,b6)) []","dB(S(a5,b6)) []","dB(S(a6,b6)) []","dB(S(a7,b6)) []","dB(S(a8,b6)) []"
9,-11.4092725416985,-8.4932875124164,-13.7937228430917,-10.0725583649406,-16.1698696344145,-11.0091034171051,-14.0228241855293,-15.0040787383796
9.1,-10.2198011973468,-3.07240171262402,-8.08129408298722,-14.8412354542268,-8.39415144605136,-6.58291341875402,-10.3282567642592,-32.8552285501816
9.2,-19.0148195638579,-7.58333308732892,-12.5231701482056,-13.4469767880975,-8.89333843329138,-11.4273801187337,-6.22983833587127,-12.9601604148308
9.3,-18.7633436917809,-9.74912060567716,-14.879463764617,-10.4475217045951,-10.0575627904263,-12.7608154194153,-7.00262798874528,-12.2951117736601
9.4,-17.3678477965299,-10.5628079305454,-14.9889959496717,-8.72531756888432,-11.1487787983218,-12.0400458009151,-7.16271183559356,-11.7400159874456
9.5,-14.9509698346886,-11.6394066855916,-13.5064447883751,-8.95117592627551,-14.1015620470218,-11.3642536344756,-7.96565685384569,-11.7822389220269
9.6,-13.9992990062802,-11.7910584234055,-12.2134645028621,-9.60582231081398,-14.6904749119275,-9.95884165016433,-8.75995274110014,-13.3460361914898
9.7,-12.3200329373149,-9.63833398687513,-14.8465686017584,-8.54866000304256,-11.2783056413608,-11.6771841793893,-11.8759880402684,-10.8425070828156
9.8,-9.76822130250254,-13.2438408584875,-10.8833477642398,-11.0481552301977,-12.7898192115479,-10.169700415531,-10.6252943192542,-13.2486701347419
9.9,-12.6595294392696,-12.8149590205751,-11.4274160798743,-11.2029223132076,-9.77321824954781,-11.5631841420876,-11.5552938687288,-14.5935733887377
10,-10.7922139103076,-12.972333952034,-10.1496232232983,-10.8470255539198,-13.5487835556209,-9.51534029331354,-10.9504668887194,-11.974429314777
10.1,-12.3889192009399,-13.7908687155962,-9.88219025081235,-12.2599175776812,-10.8414610306233,-10.2559607174229,-12.1473193103693,-12.6243219677511
10.2,-13.4327162024566,-11.9961875319815,-10.2301101250469,-12.2255341694025,-10.7140164915706,-10.498925712523,-12.0624214487614,-13.0714824955698
10.3,-11.3826491638072,-11.8840838790358,-10.8851932560303,-10.3706054421983,-11.6736049754639,-11.0312085200861,-12.7329683805957,-11.4522425137949
10.4,-12.410896591852,-14.1991704673827,-9.25839377082243,-9.92200571378317,-12.6321707319281,-12.8597152377664,-12.4420214353288,-9.69754905815294
10.5,-8.50212012940171,-19.6775391728977,-6.16129051621518,-10.4540257494837,-19.1239614634771,-17.0380354322529,-11.2784051054932,-5.48830017273685
10.6,7.28212811283645,1.41949055821773,6.31507787582013,-1.42317086552097,0.101799904991281,-0.290725158163555,-0.148524096933978,4.29126743360183
10.7,-10.4907081378652,-13.3780408061677,-6.50647223768331,-9.11216251782316,-12.1028624000848,-7.92191979398372,-11.7749905372268,-11.6884651774085
10.8,-16.8333472338728,-11.6192747469502,-6.77049857332286,-8.40631210668484,-13.1463266656232,-8.12934031380528,-12.3980070116382,-13.6167864924631
10.9,-23.2290482492083,-11.4459568282811,-6.88120848456394,-7.4171614202106,-13.1333974152531,-8.36422933835089,-12.0222288259672,-14.4894558968269
11,-21.9167122992009,-12.1321645998424,-7.10695810341289,-6.34641800449796,-12.014617847805,-8.69905077913371,-11.1491275402107,-15.3082756369514
