"Freq [GHz]","ang_rad(S(a1,b5)) [rad]","ang_rad(S(a2,b5)) [rad]","ang_rad(S(a3,b5)) [rad]","ang_rad(S(a4,b5)) [rad]","ang_rad(S(a5,b5)) [rad]","ang_rad(S(a6,b5)) [rad]","ang_rad(S(a7,b5)) [rad]","ang_rad(S(a8,b5)) [rad]"
9,0.909469896401531,2.919723589845,-3.04081356006293,-3.08700149909921,1.51543955759581,-0.113452515812978,-0.112755054842711,0.27746052537434
9.1,0.279631393509648,1.35805301578653,1.82430427753944,2.27613607845273,-1.22155808814489,-2.82594360166447,-2.42141269215873,-1.10575373638242
9.2,-1.12348509693958,-1.60918052216082,-2.84182645125995,1.76807408912514,2.01842282372926,1.40627110824698,2.01967585284002,0.752785530064218
9.3,-1.77509224599495,-2.77189663338841,2.8481586983556,1.74473345866914,1.44117925619125,0.826937484028107,1.26044469226915,0.192288007244242
9.4,-2.2868377456093,3.03297170938008,2.40520438469818,1.49487728057629,1.0357580283623,0.478344606396421,0.714024189694084,-0.233466991587553
9.5,-2.71351882729801,2.65589481732158,2.00106662890256,1.27078638213359,0.692145340299538,0.230771406890054,0.241323401180968,-0.680392641034734
9.6,3.12208800985048,2.39773484134923,1.58321390892269,1.03436339795481,0.283102537228823,0.0428887411288245,-0.200468817580345,-1.13036678579793
9.7,2.6983284532224,2.13600837567222,1.29307121771456,0.545014238811643,0.120165847213744,-0.11568275992363,-0.886473511864761,-1.02504963157051
9.8,2.09029718294013,1.92827611439333,0.856730890071516,0.40918280828684,-0.327837696114876,-0.661341322423375,-1.03150055996565,-1.41064601180389
9.9,2.02068697505244,1.50275503730549,0.612969879684517,-0.0974882756721658,-0.539843191960332,-0.962725404157222,-1.36536333854401,-1.97973946528118
10,1.67481184508012,1.20428938717969,0.242579745872272,-0.257698413378904,-0.96051838248334,-1.34618689666289,-1.64766808480247,-2.08946007930964
10.1,1.44712355450906,0.893742654999806,-0.112660738475138,-0.672381924652119,-1.34149978435699,-1.6156229994177,-2.06372672565045,-2.53414978595491
10.2,1.11431633249259,0.539902181521737,-0.43546545670289,-1.013682644168,-1.64054975453742,-1.97880009590604,-2.3767752748433,-2.92545210670819
10.3,0.784891696429777,0.345215536092267,-0.764820400999366,-1.41939870413979,-1.99708088205219,-2.28650846782743,-2.87787225606707,-3.096928045404
10.4,0.925610788724578,0.0239440761651794,-1.31013171961288,-1.64580106185936,-2.42271792229325,-2.82137577241017,3.05790385031357,2.66167484120129
10.5,1.69635587146787,-0.350510411469248,2.8786734269137,-2.10740073117929,-3.13490441115876,2.43948923977328,-3.0927784469919,2.02843101877599
10.6,0.294451855803197,-2.29888331126889,0.33206380822022,0.430145421332711,1.61051414226446,-1.22114677107931,-1.07798863224007,0.918410139197516
10.7,-1.32564149466217,-1.00311642578496,-2.01705588119455,-2.08361365000748,3.11574622077111,-3.0147963259312,1.82373455218356,-2.31714681906011
10.8,-1.26307462227392,-1.49592563838103,-2.28589660503971,-2.44601972909621,2.44129977841307,2.9227430883816,1.22525826684358,2.71621384952772
10.9,-1.3415654861824,-1.87421096759812,-2.5051294013354,-2.7410767147498,1.93729204582032,2.63234335628541,0.700079727675043,2.13015158381871
11,-1.51941935154382,-2.21638051777494,-2.72496022605557,-3.00128048052448,1.49540881468422,2.37729456055027,0.235603215983034,1.73465060245945
