0.000000,115.595986,25.790328,-3112.500722
3.840000,115.621847,25.852937,3832.881775
7.680000,115.647680,25.915410,10642.393258
11.520000,115.673486,25.977748,17316.314050
15.360000,115.699265,26.039956,23854.917875
19.200000,115.725020,26.102035,30258.472376
23.040000,115.750751,26.163990,36527.238808
26.880000,115.776459,26.225822,42661.472192
30.720000,115.802146,26.287536,48661.421378
34.560000,115.827813,26.349133,54527.329017
38.400000,115.853461,26.410617,60259.431948
42.240000,115.879091,26.471991,65857.960757
46.080000,115.904704,26.533258,71323.140239
49.920000,115.930301,26.594419,76655.189062
53.760000,115.955884,26.655479,81854.320272
57.600000,115.981453,26.716439,86920.741036
61.440000,116.007010,26.777303,91854.652769
65.280000,116.032556,26.838073,96656.251175
69.120000,116.058092,26.898753,101325.726293
72.960000,116.083619,26.959343,105863.262475
76.800000,116.109138,27.019848,110269.038685
80.640000,116.134650,27.080271,114543.228151
84.480000,116.160157,27.140612,118685.998663
88.320000,116.185658,27.200876,122697.512543
92.160000,116.211157,27.261064,126577.926683
96.000000,116.236653,27.321180,130327.392578
99.840000,116.262147,27.381225,133946.056360
103.680000,116.287641,27.441203,137434.058829
107.520000,116.313136,27.501116,140791.535485
111.360000,116.338633,27.560966,144018.616555
115.200000,116.364133,27.620756,147115.427067
119.040000,116.389637,27.680488,150082.086699
122.880000,116.415146,27.740165,152918.710035
126.720000,116.440661,27.799789,155625.406607
130.560000,116.466183,27.859363,158202.280521
134.400000,116.491714,27.918889,160649.431081
138.240000,116.517254,27.978369,162966.952187
142.080000,116.542804,28.037806,165154.932947
145.920000,116.568366,28.097203,167213.457169
149.760000,116.593940,28.156561,169142.603751
153.600000,116.619528,28.215883,170942.446534
157.440000,116.645131,28.275172,172613.054323
161.280000,116.670750,28.334430,174154.491002
165.120000,116.696386,28.393658,175566.815394
168.960000,116.722039,28.452861,176850.081401
172.800000,116.747712,28.512039,178004.337907
176.640000,116.773404,28.571195,179029.628904
180.480000,116.799118,28.630332,179925.993416
184.320000,116.824855,28.689451,180693.465573
188.160000,116.850614,28.748556,181332.074542
192.000000,116.876398,28.807648,181841.844589
195.840000,116.902208,28.866730,182222.795052
199.680000,116.928045,28.925804,182474.940375
203.520000,116.953909,28.984873,182598.290101
207.360000,116.979802,29.043938,182592.848857
211.200000,117.005726,29.103003,182458.616369
215.040000,117.031680,29.162068,182195.587472
218.880000,117.057667,29.221138,181803.752073
222.720000,117.083688,29.280214,181283.095210
226.560000,117.109743,29.339298,180633.596971
230.400000,117.135833,29.398392,179855.232544
234.240000,117.161961,29.457500,178947.972240
238.080000,117.188126,29.516623,177911.781374
241.920000,117.214331,29.575763,176746.620375
245.760000,117.240577,29.634923,175452.444703
249.600000,117.266864,29.694106,174029.204945
253.440000,117.293193,29.753314,172476.846585
257.280000,117.319567,29.812548,170795.310286
261.120000,117.345986,29.871812,168984.531638
264.960000,117.372451,29.931107,167044.441257
268.800000,117.398964,29.990437,164974.964744
272.640000,117.425526,30.049802,162776.022706
276.480000,117.452138,30.109207,160447.530574
280.320000,117.478801,30.168653,157989.398951
284.160000,117.505517,30.228142,155401.533075
288.000000,117.532287,30.287678,152683.833382
291.840000,117.559112,30.347262,149836.194914
295.680000,117.585993,30.406896,146858.507678
299.520000,117.612932,30.466584,143750.656603
303.360000,117.639931,30.526328,140512.521298
307.200000,117.666990,30.586130,137143.976241
311.040000,117.694110,30.645993,133644.890518
314.880000,117.721294,30.705919,130015.128082
318.720000,117.748543,30.765910,126254.547535
322.560000,117.775857,30.825970,122363.002144
326.400000,117.803239,30.886100,118340.339746
330.240000,117.830689,30.946303,114186.402957
334.080000,117.858210,31.006583,109901.028779
337.920000,117.885802,31.066940,105484.048803
341.760000,117.913467,31.127379,100935.289109
345.600000,117.941207,31.187902,96254.570233
349.440000,117.969023,31.248510,91441.707189
353.280000,117.996917,31.309208,86496.509159
357.120000,118.024890,31.369997,81418.779859
360.960000,118.052943,31.430881,76208.317220
364.800000,118.081079,31.491861,70864.913414
368.640000,118.109298,31.552941,65388.354804
372.480000,118.137603,31.614124,59778.421897
376.320000,118.165995,31.675412,54034.889294
380.160000,118.194476,31.736808,48157.525635
384.000000,118.223047,31.798315,42146.093553
387.840000,118.251710,31.859936,36000.349610
391.680000,118.280467,31.921674,29720.044159
395.520000,118.309319,31.983531,23304.921632
399.360000,118.338269,32.045511,16754.719962
403.200000,118.367318,32.107616,10069.170865
407.040000,118.396468,32.169850,3247.999785
