  0.000        -193.12585
  0.994        -31.62433
  1.989        -25.38577
  2.983        -21.79723
  3.978        -19.38819
  4.972        -17.70493
  5.967        -16.55482
  6.961        -15.84781
  7.956        -15.54780
  8.950        -15.65746
  9.945        -16.21980
 10.939        -17.33814
 11.934        -19.23761
 12.928        -22.47635
 13.923        -29.11044
 14.917        -40.13500
 15.912        -24.77821
 16.906        -19.45120
 17.901        -16.23613
 18.895        -14.03667
 19.890        -12.47728
 20.884        -11.38912
 21.878        -10.68826
 22.873        -10.33552
 23.867        -10.32215
 24.862        -10.66756
 25.856        -11.42711
 26.851        -12.71707
 27.845        -14.78505
 28.840        -18.25619
 29.834        -25.61430
 30.829        -31.80508
 31.823        -19.15243
 32.818        -14.00687
 33.812        -10.72091
 34.807         -8.33036
 35.801         -6.48390
 36.796         -5.01266
 37.790         -3.82179
 38.785         -2.85238
 39.779         -2.06508
 40.773         -1.43217
 41.768         -0.93327
 42.762         -0.55289
 43.757         -0.27891
 44.751         -0.10165
 45.746         -0.01321
 46.740         -0.00702
 47.735         -0.07756
 48.729         -0.22013
 49.724         -0.43065
 50.718         -0.70559
 51.713         -1.04184
 52.707         -1.43664
 53.702         -1.88753
 54.696         -2.39230
 55.691         -2.94894
 56.685         -3.55564
 57.680         -4.21072
 58.674         -4.91264
 59.669         -5.65998
 60.663         -6.45139
 61.657         -7.28561
 62.652         -8.16142
 63.646         -9.07766
 64.641        -10.03317
 65.635        -11.02679
 66.630        -12.05735
 67.624        -13.12363
 68.619        -14.22430
 69.613        -15.35794
 70.608        -16.52293
 71.602        -17.71745
 72.597        -18.93935
 73.591        -20.18611
 74.586        -21.45467
 75.580        -22.74135
 76.575        -24.04163
 77.569        -25.34992
 78.564        -26.65932
 79.558        -27.96128
 80.552        -29.24519
 81.547        -30.49799
 82.541        -31.70377
 83.536        -32.84341
 84.530        -33.89451
 85.525        -34.83173
 86.519        -35.62784
 87.514        -36.25550
 88.508        -36.69003
 89.503        -36.91246
 90.497        -36.91246
 91.492        -36.69003
 92.486        -36.25550
 93.481        -35.62784
 94.475        -34.83173
 95.470        -33.89451
 96.464        -32.84341
 97.459        -31.70377
 98.453        -30.49799
 99.448        -29.24519
100.442        -27.96128
101.436        -26.65932
102.431        -25.34992
103.425        -24.04163
104.420        -22.74135
105.414        -21.45467
106.409        -20.18611
107.403        -18.93935
108.398        -17.71745
109.392        -16.52293
110.387        -15.35794
111.381        -14.22430
112.376        -13.12363
113.370        -12.05735
114.365        -11.02679
115.359        -10.03317
116.354         -9.07766
117.348         -8.16142
118.343         -7.28561
119.337         -6.45139
120.331         -5.65998
121.326         -4.91264
122.320         -4.21072
123.315         -3.55564
124.309         -2.94894
125.304         -2.39230
126.298         -1.88753
127.293         -1.43664
128.287         -1.04184
129.282         -0.70559
130.276         -0.43065
131.271         -0.22013
132.265         -0.07756
133.260         -0.00702
134.254         -0.01321
135.249         -0.10165
136.243         -0.27891
137.238         -0.55289
138.232         -0.93327
139.227         -1.43217
140.221         -2.06508
141.215         -2.85238
142.210         -3.82179
143.204         -5.01266
144.199         -6.48390
145.193         -8.33036
146.188        -10.72091
147.182        -14.00687
148.177        -19.15243
149.171        -31.80508
150.166        -25.61430
151.160        -18.25619
152.155        -14.78505
153.149        -12.71707
154.144        -11.42711
155.138        -10.66756
156.133        -10.32215
157.127        -10.33552
158.122        -10.68826
159.116        -11.38912
160.110        -12.47728
161.105        -14.03667
162.099        -16.23613
163.094        -19.45120
164.088        -24.77821
165.083        -40.13500
166.077        -29.11044
167.072        -22.47635
168.066        -19.23761
169.061        -17.33814
170.055        -16.21980
171.050        -15.65746
172.044        -15.54780
173.039        -15.84781
174.033        -16.55482
175.028        -17.70493
176.022        -19.38819
177.017        -21.79723
178.011        -25.38577
179.006        -31.62433
180.000        -193.12584
180.994        -31.62433
181.989        -25.38577
182.983        -21.79723
183.978        -19.38819
184.972        -17.70493
185.967        -16.55482
186.961        -15.84781
187.956        -15.54780
188.950        -15.65746
189.945        -16.21980
190.939        -17.33814
191.934        -19.23761
192.928        -22.47635
193.923        -29.11044
194.917        -40.13500
195.912        -24.77821
196.906        -19.45120
197.901        -16.23613
198.895        -14.03667
199.890        -12.47728
200.884        -11.38912
201.878        -10.68826
202.873        -10.33552
203.867        -10.32215
204.862        -10.66756
205.856        -11.42711
206.851        -12.71707
207.845        -14.78505
208.840        -18.25619
209.834        -25.61430
210.829        -31.80508
211.823        -19.15243
212.818        -14.00687
213.812        -10.72091
214.807         -8.33036
215.801         -6.48390
216.796         -5.01266
217.790         -3.82179
218.785         -2.85238
219.779         -2.06508
220.773         -1.43217
221.768         -0.93327
222.762         -0.55289
223.757         -0.27891
224.751         -0.10165
225.746         -0.01321
226.740         -0.00702
227.735         -0.07756
228.729         -0.22013
229.724         -0.43065
230.718         -0.70559
231.713         -1.04184
232.707         -1.43664
233.702         -1.88753
234.696         -2.39230
235.691         -2.94894
236.685         -3.55564
237.680         -4.21072
238.674         -4.91264
239.669         -5.65998
240.663         -6.45139
241.657         -7.28561
242.652         -8.16142
243.646         -9.07766
244.641        -10.03317
245.635        -11.02679
246.630        -12.05735
247.624        -13.12363
248.619        -14.22430
249.613        -15.35794
250.608        -16.52293
251.602        -17.71745
252.597        -18.93935
253.591        -20.18611
254.586        -21.45467
255.580        -22.74135
256.575        -24.04163
257.569        -25.34992
258.564        -26.65932
259.558        -27.96128
260.552        -29.24519
261.547        -30.49799
262.541        -31.70377
263.536        -32.84341
264.530        -33.89451
265.525        -34.83173
266.519        -35.62784
